Date,Open,High,Low,Close,Adj Close,Volume
2006-12-27,2.791071,2.928571,2.741786,2.911429,2.489324,1935754800
2006-12-28,2.865000,2.901786,2.844643,2.888214,2.469475,1119876800
2006-12-29,2.998214,3.050000,2.977143,3.030000,2.590704,1076429200
2007-01-03,3.081786,3.092143,2.925000,2.992857,2.558946,1238319600
2007-01-04,3.001786,3.069643,2.993571,3.059286,2.615744,847260400
2007-01-05,3.063214,3.078571,3.014286,3.037500,2.597116,834741600
2007-01-08,3.070000,3.090357,3.045714,3.052500,2.609942,797106800
2007-01-09,3.087500,3.320714,3.041071,3.306071,2.826751,3349298400
2007-01-10,3.383929,3.492857,3.337500,3.464286,2.962027,2952880000
2007-01-11,3.426429,3.456429,3.396429,3.421429,2.925383,1440252800
2007-01-12,3.378214,3.395000,3.329643,3.379286,2.889350,1312690400
2007-01-16,3.417143,3.473214,3.408929,3.467857,2.965080,1244076400
2007-01-17,3.484286,3.485714,3.386429,3.391071,2.899427,1646260000
2007-01-18,3.289286,3.289643,3.180357,3.181071,2.719873,2364605600
2007-01-19,3.165357,3.201786,3.147143,3.160714,2.702467,1364473600
2007-01-22,3.183571,3.184286,3.058929,3.099643,2.650250,1454026000
2007-01-23,3.061786,3.125357,3.053929,3.060714,2.616966,1207424400
2007-01-24,3.095714,3.112500,3.074286,3.096429,2.647503,927813600
2007-01-25,3.111071,3.160714,3.072500,3.080357,2.633760,905973600
2007-01-26,3.111071,3.120357,3.035357,3.049286,2.607194,986874000
2007-01-29,3.082143,3.094643,3.054643,3.069286,2.624295,901664400
2007-01-30,3.086786,3.088929,3.044643,3.055357,2.612385,577970400
2007-01-31,3.030714,3.071429,3.012500,3.061786,2.617883,856069200
2007-02-01,3.079643,3.081071,3.026429,3.026429,2.587651,664342000
2007-02-02,3.004286,3.044643,2.989286,3.026786,2.587956,621530000
2007-02-05,3.010714,3.043929,2.997857,2.997857,2.563222,578852400
2007-02-06,3.016071,3.016786,2.959286,3.005357,2.569634,864393600
2007-02-07,3.017143,3.085000,2.983929,3.076786,2.630707,1066825200
2007-02-08,3.051071,3.089643,3.050357,3.077857,2.631623,679030800
2007-02-09,3.067143,3.078571,2.971786,2.973929,2.542763,860540800
2007-02-12,3.015357,3.042143,2.986786,3.031429,2.591927,724071600
2007-02-13,3.041429,3.046071,3.010714,3.025000,2.586430,580986000
2007-02-14,3.022500,3.058571,3.020357,3.046429,2.604752,507981600
2007-02-15,3.051429,3.057857,3.027857,3.043214,2.602003,363661200
2007-02-16,3.044643,3.050357,3.023571,3.029643,2.590399,399868000
2007-02-20,3.023214,3.077143,3.005714,3.067857,2.623073,617702400
2007-02-21,3.070714,3.196071,3.070000,3.185714,2.723842,1155313600
2007-02-22,3.242857,3.243214,3.161786,3.196786,2.733309,838224800
2007-02-23,3.184286,3.226429,3.173214,3.181071,2.719873,517893600
2007-02-26,3.208571,3.214286,3.128929,3.161071,2.702772,615848800
2007-02-27,3.082143,3.110000,2.978929,2.997500,2.562917,1145813200
