Date,Open,High,Low,Close,Adj Close,Volume
2014-12-16,26.592501,27.540001,26.565001,26.687500,24.095879,243162800
2014-12-17,26.780001,27.459999,26.705000,27.352501,24.696306,213647200
2014-12-18,27.967501,28.162500,27.665001,28.162500,25.427645,236024800
2014-12-19,28.065001,28.309999,27.915001,27.945000,25.231274,353719200
2014-12-22,28.040001,28.372499,27.992500,28.235001,25.493109,180670000
2014-12-23,28.307501,28.332500,28.115000,28.135000,25.402821,104113600
2014-12-24,28.145000,28.177500,28.002501,28.002501,25.283188,57918400
2014-12-26,28.025000,28.629999,28.002501,28.497499,25.730116,134884000
2014-12-29,28.447500,28.692499,28.424999,28.477501,25.712057,110395600
2014-12-30,28.410000,28.480000,28.027500,28.129999,25.398306,119526000
2014-12-31,28.205000,28.282499,27.552500,27.594999,24.915257,165613600
2015-01-02,27.847500,27.860001,26.837500,27.332500,24.678251,212818400
2015-01-05,27.072500,27.162500,26.352501,26.562500,23.983023,257142000
2015-01-06,26.635000,26.857500,26.157499,26.565001,23.985281,263188400
2015-01-07,26.799999,27.049999,26.674999,26.937500,24.321608,160423600
2015-01-08,27.307501,28.037500,27.174999,27.972500,25.256102,237458000
2015-01-09,28.167500,28.312500,27.552500,28.002501,25.283188,214798000
2015-01-12,28.150000,28.157499,27.200001,27.312500,24.660191,198603200
2015-01-13,27.857500,28.200001,27.227501,27.555000,24.879145,268367600
2015-01-14,27.260000,27.622499,27.125000,27.450001,24.784338,195826400
2015-01-15,27.500000,27.514999,26.665001,26.705000,24.111683,240056000
