Date,Open,High,Low,Close,Adj Close,Volume
2008-01-23,4.863929,5.000000,4.505000,4.966786,4.246692,3372969600
2008-01-24,4.999643,5.025000,4.714643,4.842857,4.140728,2005866800
2008-01-25,4.963929,4.967500,4.628929,4.643214,3.970031,1554739200
2008-01-28,4.577143,4.757143,4.516071,4.643214,3.970031,1474844000
2008-01-29,4.683929,4.742500,4.608929,4.697857,4.016753,1099982800
2008-01-30,4.691786,4.837500,4.642857,4.720714,4.036295,1243051600
2008-01-31,4.623214,4.880357,4.621429,4.834286,4.133400,1345674400
2008-02-01,4.865714,4.878214,4.720714,4.776786,4.084239,1010744000
2008-02-04,4.793214,4.853571,4.693571,4.701786,4.020111,899234000
2008-02-05,4.658214,4.785714,4.603571,4.620000,3.950183,1141042000
2008-02-06,4.672500,4.711429,4.348929,4.357143,3.725435,1573272400
2008-02-07,4.284643,4.456429,4.188214,4.330000,3.702228,2083331600
2008-02-08,4.360000,4.489286,4.342857,4.481429,3.831701,1355972800
2008-02-11,4.571786,4.642143,4.542857,4.623214,3.952931,1201432400
2008-02-12,4.667857,4.678571,4.415000,4.459286,3.812769,1225980000
2008-02-13,4.524286,4.635000,4.486786,4.621429,3.951404,968534000
2008-02-14,4.621429,4.671429,4.536071,4.552143,3.892164,954097200
2008-02-15,4.509643,4.538571,4.430714,4.451071,3.805745,901300400
2008-02-19,4.499643,4.526786,4.337143,4.363571,3.730932,1005046000
2008-02-20,4.364286,4.450000,4.345714,4.422143,3.781012,967439200
2008-02-21,4.501786,4.516786,4.316429,4.340714,3.711389,938114800
2008-02-22,4.374286,4.375357,4.138214,4.266429,3.647873,1529878000
2008-02-25,4.235357,4.291786,4.166429,4.276429,3.656424,1256774400
2008-02-26,4.201429,4.324643,4.122857,4.255357,3.638406,1504888000
2008-02-27,4.222500,4.394643,4.217500,4.391429,3.754750,1475138000
2008-02-28,4.542857,4.721429,4.491786,4.639643,3.966979,1618254400
2008-02-29,4.617500,4.650357,4.457143,4.465000,3.817656,1255480800
2008-03-03,4.444286,4.499286,4.214286,4.347500,3.717190,1593043200
2008-03-04,4.356786,4.460000,4.300000,4.450714,3.805441,1785383600
2008-03-05,4.413571,4.469286,4.366071,4.446071,3.801471,1221836000
2008-03-06,4.450357,4.553571,4.314643,4.318929,3.692763,1473698800
