Date,Open,High,Low,Close,Adj Close,Volume
2018-05-15,46.695000,46.767502,46.275002,46.610001,44.810009,94780800
2018-05-16,46.517502,47.115002,46.500000,47.044998,45.228207,76732400
2018-05-17,47.000000,47.227501,46.590000,46.747501,44.942200,69176000
2018-05-18,46.797501,46.952499,46.532501,46.577499,44.778763,73190800
2018-05-21,47.000000,47.317501,46.727501,46.907501,45.096024,73603200
2018-05-22,47.095001,47.220001,46.695000,46.790001,44.983051,60962800
2018-05-23,46.587502,47.125000,46.439999,47.090000,45.271477,80233600
2018-05-24,47.192501,47.209999,46.552502,47.037498,45.220993,92936000
2018-05-25,47.057499,47.412498,46.912498,47.145000,45.324356,69844000
2018-05-29,46.900002,47.187500,46.717499,46.974998,45.160908,90056400
2018-05-30,46.930000,47.000000,46.695000,46.875000,45.064777,74762000
2018-05-31,46.805000,47.057499,46.535000,46.717499,44.913357,109931200
2018-06-01,46.997501,47.564999,46.937500,47.560001,45.723316,93770000
2018-06-04,47.910000,48.355000,47.837502,47.957500,46.105465,105064800
2018-06-05,48.267502,48.485001,48.090000,48.327499,46.461185,86264000
2018-06-06,48.407501,48.520000,47.980000,48.494999,46.622211,83734400
2018-06-07,48.535000,48.549999,48.084999,48.365002,46.497238,85388800
2018-06-08,47.792500,48.000000,47.442501,47.924999,46.074230,106627200
2018-06-11,47.837502,47.992500,47.552502,47.807499,45.961262,73234000
2018-06-12,47.847500,48.152500,47.787498,48.070000,46.213631,67644400
2018-06-13,48.105000,48.220001,47.610001,47.674999,45.833881,86553600
2018-06-14,47.887501,47.892502,47.555000,47.700001,45.857914,86440400
2018-06-15,47.507500,47.540001,47.064999,47.209999,45.386845,246876800
2018-06-18,46.970001,47.305000,46.799999,47.185001,45.362801,73939600
2018-06-19,46.285000,46.582500,45.862499,46.422501,44.629749,134314000
2018-06-20,46.587502,46.799999,46.432499,46.625000,44.824429,82514800
2018-06-21,46.812500,47.087502,46.235001,46.365002,44.574474,102847600
2018-06-22,46.529999,46.537498,46.174999,46.230000,44.444687,108801600
2018-06-25,45.849998,46.230000,45.182499,45.542500,43.783741,126652400
2018-06-26,45.747501,46.632500,45.634998,46.107498,44.326916,98276800
2018-06-27,46.307499,46.820000,46.007500,46.040001,44.262024,101141200
2018-06-28,46.025002,46.552502,45.950001,46.375000,44.584087,69460800
2018-06-29,46.572498,46.797501,45.727501,46.277500,44.490360,90950800
2018-07-02,45.955002,46.825001,45.855000,46.794998,44.987862,70925200
2018-07-03,46.947498,46.987499,45.884998,45.980000,44.204342,55819200
2018-07-05,46.314999,46.602501,46.070000,46.349998,44.560043,66416800
2018-07-06,46.355000,47.107498,46.299999,46.992500,45.177734,69940800
2018-07-09,47.375000,47.669998,47.325001,47.645000,45.805035,79026400
2018-07-10,47.677502,47.820000,47.544998,47.587502,45.749767,63756400
2018-07-11,47.125000,47.445000,46.902500,46.970001,45.156105,75326000
2018-07-12,47.382500,47.852501,47.327499,47.757500,45.913185,72164400
2018-07-13,47.770000,47.959999,47.724998,47.832500,45.985302,50055600
2018-07-16,47.880001,48.162498,47.605000,47.727501,45.884357,60172400
2018-07-17,47.437500,47.967499,47.299999,47.862499,46.014137,62138000
2018-07-18,47.945000,47.950001,47.482498,47.599998,45.761772,65573600
2018-07-19,47.422501,48.137501,47.422501,47.970001,46.117493,81147200
2018-07-20,47.945000,48.107498,47.542500,47.860001,46.011734,82704800
2018-07-23,47.669998,47.990002,47.389999,47.902500,46.052589,63957600
2018-07-24,48.112499,48.415001,48.012501,48.250000,46.386677,74791600
2018-07-25,48.264999,48.712502,48.107498,48.705002,46.824108,66839600
2018-07-26,48.652500,48.990002,48.402500,48.552502,46.677494,76304000
2018-07-27,48.747501,48.797501,47.525002,47.744999,45.901176,96096000
