Date,Open,High,Low,Close,Adj Close,Volume
2009-06-17,4.881071,4.908929,4.804643,4.842143,4.140120,571412800
2009-06-18,4.861071,4.928571,4.842500,4.852857,4.149279,427680400
2009-06-19,4.931071,4.982143,4.889286,4.981429,4.259212,721856800
2009-06-22,5.023929,5.055714,4.868929,4.906071,4.194780,634914000
2009-06-23,4.871429,4.891071,4.745714,4.786071,4.092174,706532400
2009-06-24,4.836429,4.910714,4.816429,4.865000,4.159662,485525600
2009-06-25,4.848214,5.007143,4.828929,4.995000,4.270815,589447600
2009-06-26,4.992500,5.127143,4.990714,5.087143,4.349599,439384400
2009-06-29,5.123571,5.141071,5.055000,5.070357,4.335245,567616000
2009-06-30,5.092143,5.135714,5.064286,5.086786,4.349295,434224000
2009-07-01,5.125000,5.166429,5.090000,5.101071,4.361508,414178800
2009-07-02,5.044643,5.101071,4.992500,5.000714,4.275701,370479200
2009-07-06,4.953571,4.963929,4.866071,4.950357,4.232644,498688400
2009-07-07,4.945714,4.988571,4.827857,4.835714,4.134621,461596800
