Date,Open,High,Low,Close,Adj Close,Volume
2008-11-21,2.926071,3.004286,2.826429,2.949286,2.521693,1569271200
2008-11-24,3.043214,3.385357,3.030000,3.319643,2.838354,1442257600
2008-11-25,3.379643,3.382500,3.148571,3.242857,2.772701,1235292800
2008-11-26,3.211429,3.401786,3.208929,3.392857,2.900953,899836000
2008-11-28,3.382143,3.384286,3.280714,3.309643,2.829804,297774400
2008-12-01,3.260714,3.295357,3.175714,3.176071,2.715598,923767600
2008-12-02,3.215357,3.308929,3.089286,3.302500,2.823696,1148722400
2008-12-03,3.192857,3.436786,3.171429,3.425000,2.928437,1338680000
2008-12-04,3.372500,3.400357,3.180714,3.264643,2.791328,1091370000
2008-12-05,3.226786,3.374643,3.173571,3.357143,2.870417,1043795200
2008-12-08,3.474286,3.600000,3.421429,3.561429,3.045085,1185142000
2008-12-09,3.501429,3.700000,3.471786,3.573571,3.055467,1203496000
2008-12-10,3.495357,3.553214,3.446429,3.507500,2.998975,938047600
2008-12-11,3.476786,3.615714,3.386786,3.392857,2.900953,1040617200
2008-12-12,3.314286,3.535714,3.304643,3.509643,3.000807,1041174400
2008-12-15,3.428214,3.436071,3.321429,3.383929,2.893321,891758000
2008-12-16,3.356429,3.445714,3.312500,3.408214,2.914084,1093506400
2008-12-17,3.251071,3.253571,3.143571,3.184286,2.722622,1293860400
2008-12-18,3.189643,3.243929,3.158571,3.193929,2.730867,857416000
2008-12-19,3.212143,3.247857,3.171429,3.214286,2.748273,801920000
2008-12-22,3.215000,3.215357,3.024643,3.062143,2.618188,844740400
2008-12-23,3.102500,3.138214,3.067857,3.085000,2.637730,635031600
2008-12-24,3.076429,3.080357,3.019643,3.037143,2.596811,271334000
2008-12-26,3.094286,3.122143,3.044286,3.064643,2.620325,308324800
2008-12-29,3.090000,3.129286,3.038214,3.093214,2.644754,686000000
2008-12-30,3.122143,3.144643,3.025714,3.081786,2.634981,967601600
2008-12-31,3.070357,3.133571,3.047857,3.048214,2.606277,607541200
2009-01-02,3.067143,3.251429,3.041429,3.241071,2.771174,746015200
2009-01-05,3.327500,3.435000,3.311071,3.377857,2.888129,1181608400
2009-01-06,3.426786,3.470357,3.299643,3.322143,2.840491,1289310400
2009-01-07,3.278929,3.303571,3.223571,3.250357,2.779113,753048800
2009-01-08,3.229643,3.326786,3.215714,3.310714,2.830720,673500800
2009-01-09,3.328929,3.335000,3.219286,3.235000,2.765983,546845600
2009-01-12,3.230714,3.249643,3.126786,3.166429,2.707354,617716400
2009-01-13,3.151429,3.205000,3.083929,3.132500,2.678344,798397600
2009-01-14,3.080000,3.116071,3.025714,3.047500,2.605667,1021664000
2009-01-15,2.877500,3.004286,2.858929,2.977857,2.546121,1831634000
2009-01-16,3.010714,3.013571,2.871429,2.940357,2.514058,1047625600
2009-01-20,2.926071,2.928571,2.792857,2.792857,2.387943,919914800
2009-01-21,2.835357,2.960000,2.832500,2.958214,2.529326,1089270000
2009-01-22,3.144286,3.214286,3.065000,3.155714,2.698192,1409528400
2009-01-23,3.100714,3.209643,3.089286,3.155714,2.698192,763770000
2009-01-26,3.173571,3.248929,3.153571,3.201429,2.737279,692238400
2009-01-27,3.221071,3.269643,3.205000,3.240357,2.770563,618038400
