Date,Open,High,Low,Close,Adj Close,Volume
2009-11-02,6.778571,6.888571,6.627500,6.761071,5.780837,678983200
2009-11-03,6.708929,6.768571,6.640000,6.741071,5.763737,522541600
2009-11-04,6.811786,6.923214,6.793929,6.814643,5.826642,487530400
2009-11-05,6.871429,6.964286,6.850714,6.929643,5.924968,384801200
2009-11-06,6.875357,6.971071,6.871429,6.940714,5.934434,295097600
2009-11-09,7.033571,7.210714,7.009286,7.195000,6.151854,528855600
2009-11-10,7.179286,7.320714,7.178929,7.249286,6.198270,401195200
2009-11-11,7.305714,7.321429,7.208214,7.258929,6.206514,443870000
2009-11-12,7.255000,7.316786,7.193929,7.213929,6.168039,363731200
2009-11-13,7.245357,7.315357,7.216786,7.301786,6.243157,343240800
2009-11-16,7.338571,7.428571,7.321786,7.379643,6.309725,485206400
2009-11-17,7.360000,7.408571,7.321429,7.392857,6.321024,396513600
2009-11-18,7.376429,7.392857,7.285714,7.355714,6.289268,374320800
2009-11-19,7.307500,7.307500,7.135714,7.161071,6.122844,542326400
2009-11-20,7.112500,7.156786,7.062857,7.140000,6.104827,406666400
2009-11-23,7.250000,7.357143,7.248214,7.352857,6.286823,474896800
2009-11-24,7.333214,7.352857,7.246429,7.301429,6.242852,318438400
2009-11-25,7.335714,7.344643,7.277143,7.292500,6.235218,286454000
2009-11-27,7.115000,7.248571,7.084643,7.163929,6.125287,295257200
2009-11-30,7.182500,7.202857,7.098929,7.139643,6.104523,424858000
2009-12-01,7.222857,7.241786,7.029643,7.034643,6.014746,465763200
2009-12-02,7.105714,7.193571,6.991071,7.008214,5.992148,715260000
2009-12-03,7.050714,7.106429,7.009643,7.017143,5.999782,448719600
2009-12-04,7.132143,7.138571,6.795714,6.904286,5.903288,826884800
2009-12-07,6.904286,6.920357,6.738571,6.748214,5.769843,714758800
2009-12-08,6.762857,6.869643,6.739286,6.781071,5.797936,690398800
2009-12-09,6.831429,7.077143,6.796786,7.064286,6.040092,684782000
2009-12-10,7.125000,7.132143,7.004286,7.015357,5.998256,489669600
2009-12-11,7.063571,7.071429,6.908214,6.952500,5.944512,429774800
2009-12-14,6.977500,7.051071,6.877143,7.035000,6.015050,495790400
2009-12-15,6.993929,7.053929,6.902500,6.934643,5.929244,419459600
2009-12-16,6.967857,7.017857,6.948214,6.965357,5.955506,352984800
