Date,Open,High,Low,Close,Adj Close,Volume
2008-05-22,6.402143,6.476071,6.142857,6.323214,5.406461,1206735600
2008-05-23,6.456071,6.499643,6.350000,6.470357,5.532269,906917200
2008-05-27,6.526786,6.658214,6.494286,6.658214,5.692892,789905200
2008-05-28,6.693214,6.712500,6.561429,6.678929,5.710603,743979600
2008-05-29,6.670000,6.721429,6.625000,6.667500,5.700832,647186400
2008-05-30,6.694643,6.769286,6.692143,6.741071,5.763736,610184400
2008-06-02,6.735714,6.773214,6.590357,6.646429,5.682817,679840000
2008-06-03,6.673571,6.721429,6.512143,6.620357,5.660524,750520400
2008-06-04,6.572143,6.681786,6.543929,6.613929,5.655027,726983600
2008-06-05,6.655000,6.780000,6.632143,6.765357,5.784501,755445600
2008-06-06,6.714286,6.783929,6.626786,6.630000,5.668770,966422800
2008-06-09,6.599643,6.605000,6.276786,6.486071,5.545706,1888392800
2008-06-10,6.446786,6.670714,6.393571,6.630000,5.668770,1140941200
2008-06-11,6.583571,6.642857,6.413929,6.457500,5.521278,961550800
2008-06-12,6.481786,6.521429,6.114286,6.187857,5.290729,1308333600
2008-06-13,6.130000,6.220000,5.903929,6.156071,5.263552,1345957200
2008-06-16,6.117857,6.353571,6.038214,6.315714,5.400048,1051730400
2008-06-17,6.360714,6.499643,6.336071,6.479643,5.540212,899656800
2008-06-18,6.468571,6.507143,6.333929,6.383929,5.458375,811468000
2008-06-19,6.376786,6.512143,6.314286,6.460714,5.524025,791949200
2008-06-20,6.405357,6.464286,6.250000,6.259643,5.352107,888367200
2008-06-23,6.240714,6.281429,6.127143,6.184286,5.287677,645780800
2008-06-24,6.156071,6.277857,6.129643,6.187500,5.290424,621947200
2008-06-25,6.236071,6.386786,6.210000,6.335357,5.416843,644450800
2008-06-26,6.216786,6.244286,6.000357,6.009286,5.138047,869610000
2008-06-27,5.946786,6.091786,5.862500,6.074643,5.193928,1042249600
2008-06-30,6.078214,6.142857,5.950714,5.980000,5.113007,684196800
2008-07-01,5.865357,6.240000,5.857143,6.238571,5.334090,1111280800
2008-07-02,6.257143,6.337500,6.006429,6.006429,5.135605,837519200
2008-07-03,6.056786,6.148929,5.919643,6.075714,5.194845,523362000
2008-07-07,6.184286,6.326071,6.139286,6.255714,5.348748,820391600
2008-07-08,6.264286,6.417857,6.169286,6.412500,5.482802,888350400
2008-07-09,6.435714,6.461071,6.219286,6.223214,5.320959,895776000
2008-07-10,6.247143,6.333571,6.120357,6.308214,5.393635,840688800
2008-07-11,6.266786,6.325357,6.107143,6.163571,5.269962,930011600
2008-07-14,6.401429,6.403571,6.181429,6.210000,5.309661,886054400
2008-07-15,6.160000,6.205000,5.942500,6.058571,5.180188,1040043200
2008-07-16,6.078571,6.176071,6.021429,6.171786,5.276988,747790400
2008-07-17,6.217857,6.249286,6.121071,6.136071,5.246450,757526000
2008-07-18,6.018571,6.058929,5.892857,5.898214,5.043078,868414400
2008-07-21,5.960714,5.982143,5.754286,5.938929,5.077890,1360469600
2008-07-22,5.321429,5.812857,5.233214,5.786429,4.947499,1879592400
2008-07-23,5.892500,6.013214,5.770000,5.937857,5.076974,1061768400
2008-07-24,5.868571,5.902143,5.658929,5.679643,4.856197,839619200
2008-07-25,5.728571,5.821429,5.666071,5.790000,4.950552,633637200
2008-07-28,5.797857,5.802500,5.500714,5.514286,4.714814,780712800
2008-07-29,5.550357,5.694643,5.487500,5.610000,4.796651,684070800
2008-07-30,5.635000,5.731786,5.574286,5.710000,4.882153,725183200
2008-07-31,5.626429,5.792857,5.606429,5.676786,4.853754,637498400
2008-08-01,5.710714,5.713929,5.562500,5.595000,4.783825,544639200
