Date,Open,High,Low,Close,Adj Close,Volume
2005-12-16,2.576429,2.582143,2.537857,2.539643,2.171440,671171200
2005-12-19,2.539643,2.592857,2.537143,2.549286,2.179685,529295200
2005-12-20,2.558214,2.585000,2.540000,2.575357,2.201976,479108000
2005-12-21,2.592857,2.628929,2.590714,2.625000,2.244422,475736800
2005-12-22,2.639643,2.660357,2.628571,2.643571,2.260300,370610800
2005-12-23,2.648929,2.652143,2.617857,2.619643,2.239842,229857600
2005-12-27,2.642857,2.685000,2.641071,2.651071,2.266713,590590000
2005-12-28,2.659643,2.670000,2.618571,2.627500,2.246559,398115200
2005-12-29,2.635000,2.636429,2.550714,2.551786,2.181823,490025200
2005-12-30,2.532500,2.586786,2.512143,2.567500,2.195259,624262800
2006-01-03,2.585000,2.669643,2.580357,2.669643,2.282593,807234400
2006-01-04,2.683214,2.713571,2.660714,2.677500,2.289310,619603600
2006-01-05,2.672500,2.675000,2.633929,2.656429,2.271295,449422400
2006-01-06,2.687500,2.739286,2.662500,2.725000,2.329924,704457600
2006-01-09,2.740357,2.757143,2.705000,2.716071,2.322289,675040800
2006-01-10,2.723214,2.924643,2.708214,2.887857,2.469169,2279869200
2006-01-11,2.994286,3.028571,2.949643,2.996429,2.562001,1493794400
2006-01-12,3.034643,3.085714,2.986429,3.010357,2.573909,1280809600
2006-01-13,3.035357,3.071786,3.021429,3.056786,2.613607,776305600
2006-01-17,3.060714,3.085000,2.995357,3.025357,2.586735,835623600
2006-01-18,2.967143,3.001786,2.923214,2.946071,2.518943,1200637200
2006-01-19,2.901786,2.916429,2.812143,2.822857,2.413594,1695848000
2006-01-20,2.831429,2.858571,2.708214,2.717500,2.323511,1134758800
2006-01-23,2.717857,2.841429,2.714286,2.773929,2.371759,1059730000
2006-01-24,2.812857,2.836429,2.706071,2.715714,2.321984,1142254400
2006-01-25,2.763929,2.767857,2.616071,2.650000,2.265797,1275786400
2006-01-26,2.661786,2.693929,2.568929,2.583214,2.208694,1181387200
2006-01-27,2.605357,2.628571,2.539286,2.572500,2.199534,953864800
