Date,Open,High,Low,Close,Adj Close,Volume
2007-11-12,5.902857,5.989286,5.379643,5.491429,4.695270,1769065200
2007-11-13,5.744643,6.106429,5.491429,6.070000,5.189960,1739446800
2007-11-14,6.327143,6.341786,5.847857,5.932500,5.072393,1449168000
2007-11-15,5.942500,6.056786,5.725000,5.867857,5.017124,1487410400
2007-11-16,5.903571,5.965000,5.690357,5.942500,5.080943,1383494000
2007-11-19,5.932143,6.007143,5.789286,5.855357,5.006436,1154428800
2007-11-20,5.916786,6.135357,5.840357,6.030357,5.156062,1543642800
2007-11-21,5.922857,6.155357,5.881071,6.016429,5.144156,1217809600
2007-11-23,6.142857,6.144643,6.062500,6.126429,5.238206,465757600
2007-11-26,6.199643,6.331071,6.155357,6.162143,5.268744,1305754800
2007-11-27,6.257857,6.278214,6.071786,6.243214,5.338062,1317030400
2007-11-28,6.315000,6.450000,6.262500,6.436429,5.503263,1150912000
2007-11-29,6.408214,6.613214,6.398214,6.581786,5.627544,1050926800
2007-11-30,6.690714,6.703571,6.417857,6.507857,5.564334,1187802000
2007-12-03,6.495000,6.576429,6.346429,6.387857,5.461731,961469600
2007-12-04,6.326786,6.460714,6.321071,6.421786,5.490743,773799600
2007-12-05,6.531786,6.642857,6.514643,6.625000,5.664494,892402000
2007-12-06,6.649643,6.789286,6.647143,6.783929,5.800381,899810800
2007-12-07,6.805000,6.963929,6.715714,6.939286,5.933214,1066066400
2007-12-10,6.913929,6.987857,6.881786,6.936071,5.930466,722377600
2007-12-11,6.955357,7.029643,6.692500,6.733571,5.757324,1110925200
2007-12-12,6.908571,6.945714,6.634286,6.816429,5.828168,1225660800
2007-12-13,6.792500,6.861429,6.707857,6.851071,5.857789,864617600
2007-12-14,6.798929,6.900000,6.769286,6.799643,5.813817,674312800
2007-12-17,6.811429,6.880357,6.535000,6.585714,5.630905,1024693600
2007-12-18,6.661429,6.690357,6.378571,6.535000,5.587543,1222603200
2007-12-19,6.535000,6.594286,6.460714,6.540000,5.591816,827478400
2007-12-20,6.622500,6.708214,6.547500,6.686071,5.716711,774057200
2007-12-21,6.790000,6.925357,6.781786,6.925357,5.921306,993960800
2007-12-24,6.965357,7.118929,6.956786,7.100000,6.070626,480202800
2007-12-26,7.107500,7.177143,7.029286,7.105357,6.075207,703732400
2007-12-27,7.105357,7.248571,7.064286,7.091786,6.063606,795527600
2007-12-28,7.163929,7.198571,7.031429,7.136786,6.102080,699647200
2007-12-31,7.125000,7.160714,7.062500,7.074286,6.048642,539333200
2008-01-02,7.116786,7.152143,6.876786,6.958571,5.949703,1079178800
2008-01-03,6.978929,7.049643,6.881786,6.961786,5.952452,842066400
2008-01-04,6.837500,6.892857,6.388929,6.430357,5.498070,1455832000
2008-01-07,6.473214,6.557143,6.079643,6.344286,5.424478,2072193200
2008-01-08,6.433571,6.516429,6.100000,6.116071,5.229352,1523816000
2008-01-09,6.117857,6.410714,6.010714,6.407143,5.478222,1813882000
2008-01-10,6.342143,6.464286,6.264643,6.357857,5.436080,1482975200
2008-01-11,6.285714,6.351786,6.071429,6.167500,5.273324,1232285600
2008-01-14,6.340000,6.407857,6.256071,6.385000,5.459289,1100450400
2008-01-15,6.347143,6.400714,5.880714,6.037143,5.161865,2343278000
